trip,walk_distance,travel_time,boardings
33901006,411.50055638863626,629,1
35501001,787.5917443577483,614,0
35704001,933.5111578910855,1330,1
35704002,730.1866090211493,1190,1
38701001,799.7897593951482,1664,1
38701002,609.3174436065235,1805,1
38702001,486.23754886993623,1107,1
38702004,503.560857139861,1038,1
38702005,799.7897593951482,1664,1
38702006,609.3174436065235,1805,1
39401001,1147.5274285675102,893,0
39401002,1147.5349473642602,893,0
39901003,1120.768736834208,1206,1
39901004,982.6609172910735,1009,1
39901005,429.15506766668614,336,0
39902001,1013.6130676650728,784,0
39902002,1013.5893834553108,782,0
39902003,1468.4875112748232,1129,0
39902004,1468.5081879658856,1131,0
39902005,935.4234811951833,736,0
39902006,935.3990451057462,734,0
42401001,1651.7970526212193,1298,0
42401005,1651.8015638992695,1298,0
42401002,1651.7970526212193,1298,0
42401003,415.52093232524703,723,1
42401004,1125.3821954797452,892,0
42402001,1651.7970526212193,1298,0
42402003,415.52093232524703,723,1
42402004,1125.3821954797452,892,0
42901001,901.4812631512714,1145,1
42901003,563.098676686222,1110,2
42902001,1528.3691654081722,1182,0
42902002,1528.3469849577602,1180,0
43201001,569.2048947333606,944,1
43601003,502.63871428456196,825,1
43702001,475.82212781628573,1108,1
43702002,538.1976315756358,1047,1
43703001,291.92578947156136,2728,2
43703002,332.9286691691355,2556,2
44501001,error,409,TOO_CLOSE
44702001,711.2709398471737,1051,1
44702002,699.0464360878237,1950,1
45001001,1020.6971503707721,799,0
45001002,824.76448871711,651,0
45001003,738.5993609008243,572,0
45001004,856.3771578943123,795,1
45001005,1426.3307593967616,1143,1
45502001,804.6517443577484,623,0
45502002,804.6532481170983,624,0
45503001,693.264842099234,1184,1
45503002,937.0725187919097,1257,1
46201001,457.1441804487988,1130,2
46201002,450.7478045089612,776,1
48201001,689.928736837435,819,1
48201002,651.2210601447593,777,1
48301001,896.8327819480213,1103,1
48301002,341.85327067642487,464,1
48301003,289.6906842081487,503,1
48401001,195.4273082683112,484,1
48401002,365.2097218000351,597,1
48801001,383.46469924716195,2754,2
48801002,208.30412781951247,3080,2
48902001,191.4623007496113,1710,2
48902002,104.55503759349975,1572,2
49201001,1848.0279248081606,2265,1
49201002,1848.0267969886481,2135,1
49201003,539.307804507348,1210,1
49201004,1848.0267969886481,2135,1
49401001,1965.6882405983984,2887,2
49401002,958.8835112732099,1094,1
49401003,2397.8786315756356,3706,2
49701001,1948.3349248097738,3202,2
49701002,1948.3559774406735,3376,2
49701003,1979.3000526276726,2816,2
49701004,767.1907669073947,1748,1
49701005,1953.04399247646,4315,2
49701008,1822.5959999967731,3596,2
49702004,1822.5959999967731,3596,2
49703001,1948.3349248097738,3202,2
49703002,335.13210526018594,917,1
49703003,1822.5959999967731,3596,2
49704001,1948.3349248097738,3202,2
49704002,335.13210526018594,917,1
49704003,1822.5959999967731,3596,2
49901001,1601.4242255609984,2043,1
49901002,188.77633082602443,1130,2
49901003,329.41077443416145,1761,2
49901004,290.927,567,1
50401002,1101.1831729284854,863,0
50801001,365.68228570898464,362,1
50801002,608.1464511236103,481,0
53401002,839.9097293155081,1162,1
53401003,591.773496232583,1132,1
53701001,395.13652630899634,911,1
53701002,591.773496232583,1132,1
54301001,error,404,PATH_NOT_FOUND
54301002,error,404,PATH_NOT_FOUND
54302001,error,404,PATH_NOT_FOUND
54302002,2499.3437819528613,4749,2
54302003,2535.7471202975853,3717,2
54302004,error,404,PATH_NOT_FOUND
56401001,623.3881052569592,617,1
56401002,1035.94096991552,823,0
56401003,1035.94247367487,823,0
56401004,909.3167443545218,718,0
56401005,318.02939849271064,256,0
56401006,318.03052631222306,256,0
56401007,318.02939849271064,256,0
56402001,623.3881052569592,617,1
56402002,909.3167443545218,718,0
56402003,318.02939849271064,256,0
56501001,639.7929548813468,1200,1
56501002,435.50748871711,1238,2
57901001,225.5523608992109,183,0
57901002,225.55236089921087,183,0
57901003,1539.777218035845,1363,1
57901004,1247.203165408172,1489,1
57902001,225.5523608992109,183,0
57902002,225.55236089921087,183,0
57902003,1539.777218035845,1363,1
57902004,1247.203165408172,1489,1
59201001,367.1101353349858,856,1
59201002,263.3916541349623,801,1
59202001,367.1101353349858,856,1
59202002,263.3916541349623,801,1
59701001,385.8361353333723,1167,2
59701002,818.6094285691238,1290,1
59702001,385.8361353333723,1167,2
59702002,818.6094285691238,1290,1
60001001,179.32849623742334,1098,2
60001002,886.8502255577718,972,1
60002001,179.32849623742334,1098,2
60002002,886.8502255577718,972,1
60701001,519.8289248097738,1267,1
60701002,569.5849248097738,1361,1
60702001,1044.0440751789329,826,0
60702002,801.6364811984101,703,1
61901001,926.9381278162858,1144,1
61901002,99.38375187967499,1340,2
61901003,291.044090222786,1597,2
61901004,285.07998495937335,512,1
61901005,517.7729473642603,711,1
61901006,1619.34548119841,1247,0
61901007,996.90349623581,781,0
61901008,996.881315785398,779,0
61902001,1251.04896240166,1454,1
61902002,1254.617781951248,1577,1
61902003,1896.294729315508,1482,0
61902004,error,406,NO_TRANSIT_TIMES
62201001,256.0501729300988,910,2
62201002,1898.8867443577483,1463,0
62201003,826.9438496195477,1189,1
62201004,1975.6146090050163,1573,0
62201005,639.0699248097739,1690,1
62301001,1082.4487518732215,1216,1
62301002,1213.2034511219967,1118,1
62801001,1734.9970526244465,1346,0
62801002,968.0403082634713,1126,1
63601001,455.8168571414742,539,1
63601002,225.48212029919918,461,1
63602001,558.2506466162624,1506,2
63602002,471.45306014798626,1767,2
63801001,478.3916842065354,1520,2
63801002,767.4627894651077,2392,2
63801003,264.1781127804992,2225,2
63801004,1573.2235112732096,3419,2
63802001,264.1781127804992,2225,2
63802002,1573.2235112732096,3419,2
64601001,1274.3937819480213,1144,1
64601002,455.9137969870346,1062,2
64601005,1058.5750375902728,820,0
64601006,1058.576541349623,820,0
65201001,1502.2282330748578,2455,1
65201002,61.858999999999995,1940,2
